Paso_Tiempo,Vehiculos_Activos,Cola_Actual,Velocidad_Min,Velocidad_Max,Velocidad_Promedio,TiempoEspera_Promedio,TiempoPerdido_Promedio,Arrival_Rate
975.0,62,14,0.0,16.359150094862372,8.015659166929014,3.306451612903226,21.90112912455207,4
976.0,61,15,0.0,14.479960727594488,7.861849316608752,3.5901639344262297,20.999767716929465,4
977.0,60,14,0.0,16.147722143726423,8.0776473480248,3.8833333333333333,21.004110295061384,3
978.0,61,15,0.0,15.02810766612708,8.162387746309543,4.049180327868853,21.014852822851605,4
979.0,60,15,0.0,16.30741764116101,8.163928036502934,4.35,20.886228657649614,4
980.0,60,15,0.0,16.217490439582615,8.158774201400535,4.583333333333333,20.48760930991547,5
981.0,58,14,0.0,15.196610256583126,8.096091014078207,4.982758620689655,19.9786831733498,4
982.0,57,14,0.0,15.808854392869398,8.16381715482536,5.315789473684211,19.961035232008616,3
983.0,57,15,0.0,15.276535508572124,7.940762709147025,5.56140350877193,19.6369528708363,4
984.0,56,14,0.0,15.757398599032939,8.062969347681568,5.910714285714286,19.704377366155487,3
985.0,57,15,0.0,15.069595305291632,7.9677163776326365,6.052631578947368,19.726332511060146,3
986.0,58,15,0.0,15.452226913371122,8.069405636562355,6.189655172413793,19.744829985245893,3
987.0,57,15,0.0,14.0985637257301,8.055340872435734,6.56140350877193,19.751873482594267,3
988.0,57,17,0.0,14.59618251004319,7.6608215459984255,6.824561403508772,18.946925320474246,5
989.0,56,16,0.0,14.09734124163694,7.648858252000549,7.232142857142857,19.064370431125894,4
990.0,56,17,0.0,13.530697532673367,7.542916526583292,7.535714285714286,19.478932586302147,4
991.0,57,18,0.0,13.773401437769644,7.22929419949639,6.2105263157894735,18.89207666353796,5
992.0,57,15,0.0,13.619481630483643,7.003563030934813,5.140350877192983,18.737114604880468,5
993.0,57,13,0.0,13.70112381075652,7.300332832284968,4.105263157894737,19.172427234952096,5
994.0,58,13,0.0,13.631525893090293,7.462423425961341,3.086206896551724,19.23918452817841,4
995.0,59,13,0.0,13.417621823728435,7.178989083743734,2.2203389830508473,18.842324246990767,6
996.0,59,10,0.0,13.631770044309087,7.408582600427453,1.4745762711864407,18.72035820758448,7
997.0,59,10,0.0,13.790953304362484,7.492288326410778,0.8305084745762712,18.472974518099782,6
998.0,58,7,0.0,13.817449908447452,7.6954562551975405,0.6206896551724138,18.612172899889107,5
999.0,59,8,0.0,13.882046272489243,7.983288784077565,0.4406779661016949,18.667040607478036,6
1000.0,60,9,0.0,13.767714547668584,7.951558453638322,0.4666666666666667,18.13857204284673,7
1001.0,60,7,0.0,13.722811123682183,8.116050849839365,0.4166666666666667,18.094912018660224,6
1002.0,59,6,0.0,14.08058770767034,8.53035278053027,0.4406779661016949,18.26781299511254,5
1003.0,59,6,0.0,13.949158611754822,8.652522979458679,0.4576271186440678,17.97567072548342,5
1004.0,59,5,0.0,14.660388608696806,8.704317868007227,0.4745762711864407,17.917586968967257,6
1005.0,59,4,0.0,14.391061748852783,8.908607556607622,0.5423728813559322,18.22712473398039,5
1006.0,59,6,0.0,14.96021550793753,9.042064519167363,0.6271186440677966,18.045838770942616,4
1007.0,58,7,0.0,14.196454342455539,9.050104495198577,0.7413793103448276,18.08116841787424,4
1008.0,59,7,0.0,14.581546624619342,9.363486746503536,0.8305084745762712,18.049292645611658,5
1009.0,59,6,0.0,14.811006964255059,9.6959965065089,0.9322033898305084,18.31566494158754,4
1010.0,58,7,0.0,14.031637506932887,9.616826091532593,1.0517241379310345,18.263302571956906,4
1011.0,57,6,0.0,13.849610087322072,9.692513037210594,1.1754385964912282,18.747018617226626,4
1012.0,57,7,0.0,14.361594225450471,9.551832678874831,1.280701754385965,18.87259758233549,4
1013.0,57,7,0.0,13.75079144849442,9.454891323770148,1.3859649122807018,18.861206240791503,4
1014.0,56,7,0.0,13.993590863213159,9.452203884560143,1.5357142857142858,19.367359919682745,3
1015.0,56,8,0.0,13.780624418146909,9.733062309004055,1.6785714285714286,19.62753089388238,3
1016.0,56,9,0.0,13.805164897674695,9.503987630751482,1.8214285714285714,18.921653698352937,3
1017.0,58,11,0.0,13.82265787650831,9.139223893874805,1.896551724137931,17.474177357285193,6
1018.0,57,8,0.0,13.811902710372802,9.27104376162862,2.0701754385964914,17.86608158476308,5
1019.0,60,12,0.0,13.78698038356939,8.969285822684327,2.1166666666666667,17.240962688285688,7
1020.0,60,10,0.0,13.85931548497174,8.912536075283112,2.2666666666666666,16.572093793368893,8
1021.0,60,9,0.0,13.395118942693808,9.112973184389578,2.4166666666666665,16.879195137875676,8
1022.0,59,10,0.0,13.704819064564072,9.09080014991691,2.610169491525424,15.793291654458,8
1023.0,58,11,0.0,13.765168852265925,8.995557623616195,2.8275862068965516,14.751862211388776,6
1024.0,57,10,0.0,13.835160315595568,8.904067606794614,3.0526315789473686,14.560622649142374,6
1025.0,59,13,0.0,14.076903909678785,8.66604528726192,3.135593220338983,14.374307481330575,5
1026.0,61,14,0.0,13.894530905620195,8.46832384486144,3.2295081967213113,14.226349193691675,6
1027.0,60,12,0.0,13.454991810931825,8.466009707412432,3.4833333333333334,14.104950148999688,6
1028.0,60,15,0.0,14.671017726930724,8.250790811429473,3.7,12.986229369764349,7
1029.0,61,15,0.0,14.601828132159838,8.257503330804257,3.8688524590163933,13.122311291992837,7
1030.0,60,14,0.0,14.054108890853652,8.14954148501058,4.133333333333334,12.318490404026216,8
1031.0,60,14,0.0,14.714056859616951,8.28823329922834,4.35,12.084186651048375,7
1032.0,61,15,0.0,14.90084070680646,8.407211376759479,4.508196721311475,12.2298244793976,6
1033.0,60,16,0.0,14.441196131738664,8.371576441530266,4.833333333333333,11.98107703153367,7
1034.0,62,17,0.0,13.8251321189804,8.422321624994183,4.919354838709677,11.923482681692253,7
1035.0,62,17,0.0,13.714383344419643,8.315288825478161,5.161290322580645,11.550909962372543,8
1036.0,62,13,0.0,13.757329408754595,8.451216493033211,4.064516129032258,11.908701788311523,7
1037.0,62,12,0.0,13.820311483205296,8.418583778156213,3.1451612903225805,11.970219192959606,7
1038.0,63,12,0.0,14.184705317206681,8.322278731508446,2.3015873015873014,11.713643104670906,8
1039.0,62,9,0.0,14.418766756201924,8.321136314725694,1.6290322580645162,11.905228971009072,7
1040.0,61,8,0.0,15.182747326350489,8.224614287119163,1.0819672131147542,11.806877306248426,6
1041.0,62,7,0.0,14.982209422231369,8.366428719167377,0.6935483870967742,11.965047914056859,5
1042.0,63,8,0.0,14.655940300089581,8.090469630295392,0.36507936507936506,11.868962533313967,7
1043.0,62,6,0.0,15.13480835989646,8.105231003347768,0.3064516129032258,12.20555912710575,6
1044.0,62,7,0.0,14.327195473616639,8.18466513165395,0.3709677419354839,12.354028387224046,5
1045.0,62,7,0.0,14.45174640256043,7.987255113186923,0.46774193548387094,12.546473776058923,6
1046.0,62,8,0.0,14.715130133294196,8.139646657961542,0.5806451612903226,12.81064388580323,6
1047.0,62,9,0.0,15.489010962420771,8.03556933549755,0.7096774193548387,13.027593742007355,6
1048.0,61,9,0.0,15.131850892464326,7.887064783150787,0.8524590163934426,13.236310945756154,5
1049.0,63,11,0.0,15.464983989084766,7.912328553767649,0.9682539682539683,13.181130762015437,7
1050.0,64,10,0.0,15.717772147078694,8.0365085902136,1.09375,13.35381919221451,7
1051.0,64,10,0.0,14.815088379798153,7.878513953200773,1.234375,13.646992918736583,7
